stage,component,artifact,status,pct,blocker,next_action,milestone
1,System preparation,MT5 host prep (Windows roles/swap/power/firewall),N/A - MetaQuotes,-,-,Only if Path A,Path A only
1,Platform install,mt5srvsetup.exe /install + .lic,N/A - MetaQuotes,-,-,Only if Path A,Path A only
1,Cluster topology,"main trade(1) access(2) history(3) backup(4)",N/A - MetaQuotes,-,-,Only if Path A,Path A only
1,Console commands,/start /stop /restart /info /config /config_main /gui /gui_main,N/A - MetaQuotes,-,-,Only if Path A,Path A only
1,Your equivalent: cluster,infrastructure/cluster/,EMPTY,0,Empty __init__.py only,Defer (out of scope),-
1,Your equivalent: backup/journal,none,MISSING,0,No WAL no snapshot no replay,Build event journal after M4,Deferred
1,Your equivalent: console,cli/main.py (8 commands),STUBS,5,Every body is a comment,Implement seed + status,M2
2,Admin bootstrap,first-admin creation (MT5 login 1000 pattern),MISSING,0,No Manager entity,Create Manager entity + bootstrap,M2
2,Manager entity,core/domains/identity/,EMPTY,10,IManagerRepository port exists but no model,Build Manager + Rights bitmask,M2
2,Roles / permissions,admin vs dealer vs manager vs read-only,ENUM ONLY,15,AccountType has MANAGER/DEALER only,Rights bitmask from ConfigManagers export,M2
2,Client auth,api/routers/auth.py + auth_service.py,DONE,80,Hardcoded JWT secret,Move SECRET_KEY to env fail-fast,M5
2,Admin auth,api/auth/admin_dependencies.py,INSECURE,30,Static ADMIN_API_KEY default + test asserts it,Replace with manager JWT + roles,M2
2,2FA / rate limit / IP whitelist / token blacklist,infrastructure/security/,DONE,85,Not reachable (import chain),Verify after M0,-
2,Certificates / extended auth,none,MISSING,0,Zero X.509 code,API TLS via reverse proxy only; defer client certs,M5
3,Symbol entity,core/domains/instruments/symbol.py,PARTIAL,35,42 fields vs MT5 121,Add CurrencyProfit/CurrencyMargin + SwapRate per day + IE*/RE*,Deferred
3,Symbol margin rates,core/domains/instruments/value_objects.py MarginRates,DONE,95,-,Matches MT5 16-field matrix,-
3,Trading sessions / holidays,symbol.py + holiday.py + holiday_repository.py,DONE,70,No per-day swap; no server Time/EOD schedule,Add EOD schedule with swap+commission+interest order,Deferred
3,Symbol repository,persistence/repositories/symbol_repository.py,DONE,70,Unreachable (db_models import fails),Verify after M0,M0
3,Group entity,core/domains/accounts/group.py,PARTIAL,45,19 fields vs MT5 44 + Commissions(12+Tiers) + SymbolOverrides(65),Add PermissionsFlags/AuthMode/Limit*/Company*,Deferred
3,Group symbol override,value_objects.py GroupSymbolOverride,PARTIAL,18,12 fields vs MT5 65,Add MarginMaintenance* half + StopsLevel/FreezeLevel + IE*/RE*,Deferred
3,Commission,value_objects.py CommissionRule + CommissionTier,BROKEN,40,calculate_commission returns 0 or wrong value; return-in-loop applies only first rule; MT5 stacks rules,Fix discriminator + accumulate matching rules,M3
3,Swap,value_objects.py SwapConfiguration,PARTIAL,50,No SwapRate{Sun..Sat}; swap_worker imports a non-existent module,Fix import then add per-day rates,M0
3,Account entity,core/domains/accounts/account.py,DONE,85,-,Full stop-out state machine + FreeMarginMode,-
3,Client entity,core/domains/accounts/client.py,DONE,70,-,-,-
3,Account types enum,core/domains/accounts/enums.py,DONE,95,-,REAL/DEMO/PRELIMINARY/CONTEST/COVERAGE/MANAGER/DEALER,-
3,CreateAccountHandler,none,MISSING,0,Does not exist,Build,M2
3,CreateClientHandler,none,MISSING,0,Does not exist,Build,M2
3,CreateGroupHandler,application/commands/create_group.py,BROKEN,20,Imports undefined GroupCreated + IGroupRepository; ConfigCache unreachable,Define events + port then fix,M0
3,CreateSymbolHandler,none,MISSING,0,Does not exist,Build,M2
3,Admin REST endpoints,api/routers/admin/,PARTIAL,25,GET only; no create/update for groups/symbols/accounts,Build CRUD,M2
3,Data feeds,infrastructure/feeds/mock_feed.py,BROKEN,40,Quantizes to spread not tick_size,Quantize to symbol.tick_size,M3
3,LP feed,infrastructure/feeds/lp_feed.py,STUB,5,NotImplementedError x2,Defer,Deferred
3,LP gateways,infrastructure/gateways/,EMPTY,0,Empty __init__.py; ILiquidityGateway has no implementation,Build stub gateway for M4,M4
3,Spreads / markup,none,MISSING,0,No pricing module anywhere (cf rabbittrix fx-pricing),Build spread+markup module,M4
3,Leverage table,MarginProfile.leverage_default/max,PARTIAL,50,No leverage tiers table; ignores symbol max leverage,Use min(account/group/symbol) leverage,M3
